,MP/mp-1017539,MP/mp-1093993,MP/mp-1245015,MP/mp-1245109,MP/mp-1245209,MP/mp-1245255,MP/mp-13161,MP/mp-1986,MP/mp-2133,MP/mp-2229,MP/mp-2346983,MP/mp-997630,COD/cod-1011258,COD/cod-1011259,COD/cod-1534836,COD/cod-1536063,COD/cod-1537875,COD/cod-2107059,COD/cod-2300112,COD/cod-2300113,COD/cod-2300114,COD/cod-2300115,COD/cod-2300116,COD/cod-2300450,COD/cod-4517837,COD/cod-9004178,COD/cod-9004179,COD/cod-9004180,COD/cod-9004181,COD/cod-9008877,COD/cod-9011662,OQMD/oqmd-1106917,OQMD/oqmd-116025,OQMD/oqmd-117131,OQMD/oqmd-1223683,OQMD/oqmd-1230655,OQMD/oqmd-1343236,OQMD/oqmd-1343668,OQMD/oqmd-1343724,OQMD/oqmd-1343728,OQMD/oqmd-1439997,OQMD/oqmd-1442030,OQMD/oqmd-1442249,OQMD/oqmd-1443821,OQMD/oqmd-1443987,OQMD/oqmd-1444341,OQMD/oqmd-1472687,OQMD/oqmd-1472817,OQMD/oqmd-1473257,OQMD/oqmd-1474198,OQMD/oqmd-1479504,OQMD/oqmd-1479511,OQMD/oqmd-2029561,OQMD/oqmd-2029562,OQMD/oqmd-2029563,OQMD/oqmd-2029564,OQMD/oqmd-2029839,OQMD/oqmd-2029840,OQMD/oqmd-2029841,OQMD/oqmd-2029842,OQMD/oqmd-2029843,OQMD/oqmd-2029844,OQMD/oqmd-20684,OQMD/oqmd-20685,OQMD/oqmd-2170474,OQMD/oqmd-307732,OQMD/oqmd-328816,OQMD/oqmd-339274,OQMD/oqmd-4908,OQMD/oqmd-6958
MP/mp-1017539,0.0,0.7751869486593175,0.49804874453639547,0.44951750470094565,0.5392213557815828,0.48700045962423344,0.6797530866757211,0.8136973991821455,0.8077683136044875,0.6472767646918065,0.6529415646981533,0.6400362337470815,0.8178150565854119,0.7452146069616039,0.6767187652703521,0.504567802447387,0.7831748622059842,0.8064462192650672,0.7975662392650673,0.8093825392650673,0.8227704192650671,0.8244813792650674,0.8419311492650676,0.8086938970338653,0.3426643627457513,0.7992186792650671,0.7984020592650671,0.7945352592650672,0.8044263357306785,0.745252181192348,0.745511232737571,0.6662627652703521,0.6578841127327832,0.7028725008551504,0.8006062215333571,0.6518237584946323,0.6673057552703523,0.769446928568573,0.6184802582209845,0.7785061659375478,0.6687267152703522,0.6663006452703524,0.7663300107556026,0.6018690560052851,0.805186993657754,0.6719854652703523,0.6669249302703522,0.6494991196321354,0.6677325302703521,0.35254715859977415,0.7325521037905562,0.7324620671283304,0.6803868860698721,0.5353648810052856,0.6570891599011679,0.7637299942192759,0.798524371235098,0.7964766468647424,0.7995567858450383,0.8018551945702235,0.7988340093603106,0.796623315933664,0.7070034420312026,0.8055009971155469,0.7948456744620487,0.7019449876476975,0.6715463402703521,0.7046326022255478,0.7933306730504672,0.6708107652703523
MP/mp-1093993,0.7751869486593175,0.0,0.35570924238167345,0.32566944395837183,0.3667464264088056,0.33869076635302964,0.9586040957363196,0.37739052105686755,0.36510543182636956,1.089336769421454,1.2755633493942504,1.082096238476729,0.3501984338640556,0.40520499016147493,1.1187787699999996,0.7756169434985423,0.4272351765522209,0.35247045001976574,0.3622892758142857,0.3457201977228812,0.3291109790250397,0.31252860643969305,0.3022725383687703,0.3624931228307027,0.5981441639371416,0.3617390372665934,0.36447550870349676,0.3617390372665934,0.36447550870349676,0.3630301879548652,0.36290199652785127,1.1083227699999996,1.0999441174624307,0.9817235099157489,0.39876988596877583,1.0938837632242797,1.1093657599999998,0.4087400199999993,1.060540262950632,0.7003792249341161,1.1107867199999997,1.1083606499999998,0.02868870728579065,0.6602395635603067,0.6749875561487428,1.1140454699999998,1.1089849349999996,0.707869627187157,1.1097925349999995,0.8183014996934763,0.3756563526903314,0.3756307013773186,0.7387573936248937,0.5937353885603072,1.0991491646308154,0.0239551161829068,0.39406857585186117,0.3928833381670018,0.3956671618305809,0.3920500599281107,0.38213434556183623,0.39363708222956983,0.985854451091801,0.3907767509142426,0.39252979160005674,0.980795996708296,1.1136063449999996,0.9834836112861463,0.372439155127231,1.1128707699999998
MP/mp-1245015,0.49804874453639547,0.35570924238167345,0.0,0.08795962402065394,0.04208001869258737,0.026247908733163516,0.8816385006921035,0.42217487744755733,0.40817764894109576,0.7986693317771367,0.9984251452713284,0.7914288008324117,0.42552901744755633,0.4308708054260406,0.8281113323556824,0.49847873937562026,0.45290099181678656,0.40382901744755717,0.3961290174475569,0.411329017447557,0.4265290174475571,0.4406290174475571,0.45052901744755713,0.3962210174475569,0.32100595981421964,0.3961290174475569,0.3922290174475571,0.3961290174475569,0.3922290174475571,0.3960290174475567,0.396529017447556,0.8176553323556823,0.8092766798181135,0.9083345006921038,0.4244357012333415,0.8032163255799625,0.8186983223556825,0.2713981840321775,0.7698728253063147,0.419969164413867,0.8201192823556824,0.8176932123556826,0.3380593774475571,0.634573748295741,0.3638307059531809,0.8233780323556825,0.8183174973556824,0.6822038119225913,0.8191250973556823,0.5411632955705543,0.35807179988025073,0.3585096958059517,0.713091578360328,0.5680695732957415,0.8084817269864981,0.33175412619876665,0.41973439111642685,0.4185491534315675,0.4213329770951466,0.4177158751926764,0.4078001608264019,0.4193028974941355,0.9131045006921035,0.41644256617880826,0.4181956068646224,0.9072635006921042,0.8229389073556823,0.9103668906921039,0.3981049703917967,0.8222033323556825
MP/mp-1245109,0.44951750470094565,0.32566944395837183,0.08795962402065394,0.0,0.0989968080477861,0.07094114799201012,0.8159889521786963,0.3857093507245941,0.37342426149409613,0.7792942908110012,0.9498939054358786,0.7720537598662762,0.3682975518844662,0.4135238198292015,0.8087362913895468,0.44994749954017044,0.43555400621994744,0.3607892796874923,0.3706081054820123,0.35986503456412167,0.37325291456412146,0.3749638745641217,0.392413644564122,0.37081195249842924,0.2724747199787698,0.37005786693431997,0.37279433837122333,0.37005786693431997,0.37279433837122333,0.37134901762259176,0.37122082619557784,0.7982802913895468,0.789901638851978,0.8426849521786965,0.4070887156365024,0.783841284613827,0.799323281389547,0.31992942386762735,0.7504977843401792,0.46455188081419374,0.8007442413895469,0.7983181713895471,0.3387311858962434,0.6519207338925801,0.4072379377877233,0.804002991389547,0.7989424563895469,0.6995507975194304,0.7997500563895468,0.4926320557351045,0.31488992198079613,0.3153278179064971,0.7304385639571671,0.5854165588925806,0.7891066860203626,0.31421248951833025,0.40238740551958774,0.4012021678347284,0.4039859914983075,0.4003688895958373,0.3904531752295628,0.4019559118972964,0.8474549521786963,0.39909558058196914,0.4008486212677833,0.841613952178697,0.8035638663895468,0.8447173421786967,0.3807579847949576,0.802828291389547
MP/mp-1245209,0.5392213557815828,0.3667464264088056,0.04208001869258737,0.0989968080477861,0.0,0.05222089615734937,0.8899233201028247,0.4332120614746895,0.42011780416680367,0.7565893130845494,1.0395977565165158,0.7493487821398244,0.4365662014746885,0.46021736250190903,0.786031313663095,0.5396513506208076,0.482247548892655,0.41486620147468933,0.4173016481547198,0.4223662014746892,0.4375662014746893,0.4516662014746893,0.4615662014746893,0.4175054951711368,0.362178571059407,0.4167514096070275,0.41948788104393087,0.4167514096070275,0.41948788104393087,0.4180425602952993,0.41791436886828537,0.775575313663095,0.7671966611255261,0.916619320102825,0.45378225830920993,0.7611363068873751,0.7766183036630951,0.23022557278699018,0.7277928066137274,0.4054636838575729,0.7780392636630951,0.7756131936630952,0.36143616362269526,0.6052271912198726,0.38876057681674414,0.7812980136630951,0.776237478663095,0.6528572548467229,0.7770450786630949,0.5823359068157417,0.3857389688507511,0.3861768647764521,0.6837450212844596,0.5387230162198731,0.7664017082939107,0.3427913102258988,0.44908094819229527,0.44789571050743593,0.45067953417101503,0.4470624322685448,0.43714671790227033,0.44864945457000394,0.9213893201028247,0.4457891232546767,0.44754216394049084,0.9155483201028254,0.7808588886630949,0.9186517101028251,0.4274515274676651,0.7801233136630952
MP/mp-1245255,0.48700045962423344,0.33869076635302964,0.026247908733163516,0.07094114799201012,0.05222089615734937,0.0,0.8644596680334962,0.42930424505459674,0.41701915582409876,0.7798627796379884,0.9873768603591664,0.7726222486932635,0.4085105414189125,0.45711871415920413,0.8093047802165341,0.48743045446345823,0.4791489005499501,0.40438417401749494,0.4142029998120149,0.3976339217206104,0.4095105414189133,0.4236105414189133,0.4335105414189133,0.4144068468284319,0.3099576749020576,0.4136527612643226,0.41638923270122596,0.4136527612643226,0.41638923270122596,0.4149439119525944,0.41481572052558047,0.798848780216534,0.7904701276789652,0.8911556680334964,0.450683609966505,0.7844097734408142,0.7998917702165342,0.28244646894433956,0.7510662731671665,0.43752960084874815,0.8013127302165342,0.7988866602165343,0.33816269706925617,0.6083258395625775,0.379935915127795,0.8045714802165342,0.7995109452165341,0.6559559031894278,0.800318545216534,0.5301150106583923,0.3585541859778836,0.35899208190358456,0.6868436696271645,0.541821664562578,0.7896751748473498,0.31473565017012284,0.44598229984959037,0.444797062164731,0.4475808858283101,0.4439637839258399,0.43404806955956543,0.44555080622729903,0.8959256680334962,0.4426904749119718,0.44444351559778594,0.8900846680334968,0.804132355216534,0.8931880580334965,0.4243528791249602,0.8033967802165343
MP/mp-13161,0.6797530866757211,0.9586040957363196,0.8816385006921035,0.8159889521786963,0.8899233201028247,0.8644596680334962,0.0,0.892137230670436,0.8798519702358396,0.7388049631553901,1.2245368268697083,0.7353995337217656,0.8649448680947991,0.919951424392218,0.7804422396769666,0.9594252907700724,0.9419816107829639,0.8673811576691839,0.8770357100450297,0.8604666319536247,0.8438574132557837,0.8280257941918552,0.8170189725995138,0.8772395570614466,0.8628903847035874,0.8765019296597027,0.8792384265650779,0.8765019296597027,0.8792384265650779,0.8777930747386047,0.87766487890595,0.7656552226687934,0.4562215856704359,0.03775384526111214,0.9135163201995189,0.36300032067043597,0.767130233272213,0.8333033702921626,0.69808055315539,1.096160206340095,0.7691397741758026,0.7657087930785362,0.9562517979562268,0.7736819599999993,1.1024081906130854,0.7737483426221861,0.7665916653923222,0.4935012965542809,0.7677337842652947,0.9053248111818673,0.6767384789652144,0.6768195501628749,0.562105080670436,0.7566963199999996,0.4588344406704361,0.9825592119192259,0.9118146309839443,0.9110922704403981,0.9127821974030419,0.9096215966171628,0.8998914719879996,0.9113919401649029,0.04449964395363182,0.9055231851449861,0.9100856736627785,0.0362392225358108,0.773127326091609,0.04062807876314345,0.8871856058680554,0.7720870659504664
MP/mp-1986,0.8136973991821455,0.37739052105686755,0.42217487744755733,0.3857093507245941,0.4332120614746895,0.42930424505459674,0.892137230670436,0.0,0.013997535146234696,1.0539106340386288,1.3140737999170784,1.0466707832690716,0.027192362575636952,0.12764650141860612,1.0833526346171745,0.8141273940213702,0.04984465549535333,0.02492007103710181,0.02604650141860665,0.03167059871681133,0.04827981741465237,0.0648619146171745,0.0751182580709222,0.025954501418606668,0.6366546144599696,0.02604650141860665,0.02994650141860644,0.02604650141860665,0.02994650141860644,0.1775119052256522,0.17747740522565225,1.0728966346171744,1.0645179820796056,0.9152566448498654,0.021379364911908283,1.0584576278414546,1.0739396246171746,0.37331388461717463,1.0251141275678068,0.76684486,1.0753605846171745,1.0729345146171747,0.36485933656795355,1.0376300846171742,0.7414531912146267,1.0786193346171746,1.0735587996171745,1.0852601482440245,1.0743663996171744,0.8568119502163043,0.4551597216190868,0.4547675622161611,1.1161479146817612,0.9711259096171747,1.0637230292479902,0.36125744825042627,0.02900897141860659,0.0275551414186066,0.024685921418606593,0.02077151141860689,0.03140481141860674,0.02645667141860608,0.9193875860259175,0.013386229857375032,0.03260929141860647,0.9143291316424125,1.0781802096171744,0.9170167462202627,0.036587231418606425,1.0774446346171747
MP/mp-2133,0.8077683136044875,0.36510543182636956,0.40817764894109576,0.37342426149409613,0.42011780416680367,0.41701915582409876,0.8798519702358396,0.013997535146234696,0.0,1.0416255448081309,1.3081447143394205,1.0343856940385736,0.02278930686052716,0.11364912999999932,1.0710675453866765,0.8081983084437123,0.06212974472585131,0.030895310000000453,0.021975290000000314,0.03835898999999987,0.053271109999999844,0.07778429136618614,0.08031038000000024,0.011957129999999871,0.6307255288823117,0.02192285000000016,0.01923947000000048,0.026606270000000265,0.015949129999999645,0.1764088068605274,0.17637430686052746,1.0606115453866765,1.0522328928491076,0.9029713844152689,0.033664454142406264,1.0461725386109566,1.0616545353866766,0.36102879538667665,1.0128290383373089,0.7528476314935384,1.0630754953866766,1.0606494253866767,0.35257424733745557,1.0253449953866762,0.7274559627081651,1.0663342453866766,1.0612737103866765,1.0729750590135265,1.0620813103866764,0.8508828646386464,0.4428746323885888,0.4424824729856631,1.1038628254512632,0.9588408203866767,1.0514379400174922,0.3489723590199283,0.03196266074810472,0.03124030020455848,0.032930227167202286,0.02976962638132319,0.02003950175215996,0.03153996992906327,0.9071023255913211,0.025671319087873012,0.030233703426938874,0.902043871207816,1.0658951203866764,0.9047314857856663,0.02258985999999963,1.0651595453866767
MP/mp-2229,0.6472767646918065,1.089336769421454,0.7986693317771367,0.7792942908110012,0.7565893130845494,0.7798627796379884,0.7388049631553901,1.0539106340386288,1.0416255448081309,0.0,1.1185250594214544,0.0774125730846662,1.0267185468458169,1.0817251031432362,0.04163727652157645,0.937954376463566,1.1037552895339822,1.028990563001527,1.038809388796047,1.0222403107046425,1.0056310920068015,0.989799472942873,0.9787926513505316,1.039013235812464,0.7367820220175472,1.0382591502483547,1.040995621685258,1.0382591502483547,1.040995621685258,1.0395503009366265,1.0394221095096126,0.026850259513403252,0.3322217682593456,0.7599580348498645,1.0752899989505371,0.5792708817134287,0.028325270116822843,0.6805967494214546,0.12037560557854565,0.9221446999999996,0.030334811020412467,0.026903829923146105,1.1180254767072446,0.7937827242067903,0.8967530312146264,0.03494337946679593,0.027786702236932026,0.6142060899383996,0.02892882110990458,0.9998239232915807,0.7136804167311226,0.7137060680441354,0.7238787594214542,0.8366678071485887,0.33391818862032885,1.0928209794214543,1.070588705157332,1.0694034642057542,1.0721872910846573,1.0685701891611217,1.0586544585435975,1.0701571952113316,0.7640889760259166,1.0672968638960039,1.0690499209494586,0.7590305216424116,0.03432236293621882,0.7617181362202619,1.0489592681089923,0.03328210279507626
