structure_1,structure_2,pdd_emd,amd_dist,identical,very_similar,similar
mp-1245015,cod-9004178,0.751581052,0.9875,False,False,False
mp-1245015,cod-9004179,0.7483269530000001,0.9875,False,False,False
mp-1245015,cod-9004180,0.750032090875,0.9875,False,False,False
mp-1245015,cod-9004181,0.7501743162500001,0.9875,False,False,False
mp-1245015,cod-9008877,0.71550983275,0.9875,False,False,False
mp-1245015,cod-9011662,0.715910345625,0.9875,False,False,False
mp-1245109,mp-1245209,0.263463314625,0.09899680804778654,False,False,True
mp-1245109,mp-1245255,0.256234038,0.10039380134966525,False,False,True
mp-1245109,mp-13161,1.075380003375,1.0690330224953204,False,False,False
mp-1245109,mp-1986,0.769245872875,0.9875,False,False,False
mp-1245109,mp-2133,0.688959138625,0.9875,False,False,False
mp-1245109,mp-2229,1.0249466091250001,1.021424869041283,False,False,False
mp-1245109,mp-2346983,1.072226244875,0.9498939054358781,False,False,False
mp-1245109,mp-997630,0.9158752904030429,0.8516336710547137,False,False,False
mp-1245109,cod-1011258,0.701559578875,0.9875,False,False,False
mp-1245109,cod-1011259,0.6104220367500001,0.9875,False,False,False
mp-1245109,cod-1534836,1.09524598775,1.093542747465448,False,False,False
mp-1245109,cod-1536063,0.7711660628473704,0.4448425147684807,False,False,False
mp-1245109,cod-1537875,0.7201426016250001,0.9875,False,False,False
mp-1245109,cod-2107059,0.68811853025,0.9875,False,False,False
mp-1245109,cod-2300112,0.678392879375,0.9875,False,False,False
mp-1245109,cod-2300113,0.694746111875,0.9875,False,False,False
mp-1245109,cod-2300114,0.712780869375,0.9875,False,False,False
mp-1245109,cod-2300115,0.725882043875,0.9875,False,False,False
mp-1245109,cod-2300116,0.7427444555,0.9875,False,False,False
mp-1245109,cod-2300450,0.683529760625,0.9875,False,False,False
mp-1245109,cod-4517837,0.58976433763028,0.4241449448813448,False,False,False
mp-1245109,cod-9004178,0.6792234016250001,0.9875,False,False,False
mp-1245109,cod-9004179,0.67637485275,0.9875,False,False,False
mp-1245109,cod-9004180,0.6771705357500001,0.9875,False,False,False
mp-1245109,cod-9004181,0.67906189425,0.9875,False,False,False
mp-1245109,cod-9008877,0.646708863125,0.9875,False,False,False
mp-1245109,cod-9011662,0.6471105478750001,0.9875,False,False,False
mp-1245209,mp-1245255,0.246699575,0.056824520127021216,False,False,True
mp-1245209,mp-13161,1.10607404425,1.0903853853762353,False,False,False
mp-1245209,mp-1986,0.7640346040000001,0.9875,False,False,False
mp-1245209,mp-2133,0.68410427725,0.9875,False,False,False
mp-1245209,mp-2229,1.087198941875,1.0849272404109769,False,False,False
mp-1245209,mp-2346983,1.0831061755000002,1.0395977565165158,False,False,False
mp-1245209,mp-997630,0.9662479368887726,0.8942334978497026,False,False,False
mp-1245209,cod-1011258,0.6922358336250001,0.9875,False,False,False
mp-1245209,cod-1011259,0.614942568375,0.9875,False,False,False
mp-1245209,cod-1534836,1.158209809875,1.1570451188351418,False,False,False
mp-1245209,cod-1536063,0.7562007948696334,0.45278020148291853,False,False,False
mp-1245209,cod-1537875,0.7123887853749999,0.9875,False,False,False
mp-1245209,cod-2107059,0.689101426875,0.9875,False,False,False
mp-1245209,cod-2300112,0.678981638125,0.9875,False,False,False
mp-1245209,cod-2300113,0.6967322155,0.9875,False,False,False
mp-1245209,cod-2300114,0.7158501881250001,0.9875,False,False,False
mp-1245209,cod-2300115,0.73222829575,0.9875,False,False,False
mp-1245209,cod-2300116,0.7469924433749999,0.9875,False,False,False
mp-1245209,cod-2300450,0.6811925670000001,0.9875,False,False,False
mp-1245209,cod-4517837,0.5799671957538768,0.37036431607851483,False,False,False
mp-1245209,cod-9004178,0.679652817125,0.9875,False,False,False
mp-1245209,cod-9004179,0.6765924622500001,0.9875,False,False,False
mp-1245209,cod-9004180,0.67870197275,0.9875,False,False,False
mp-1245209,cod-9004181,0.67743717475,0.9875,False,False,False
mp-1245209,cod-9008877,0.638186501875,0.9875,False,False,False
mp-1245209,cod-9011662,0.638533957125,0.9875,False,False,False
mp-1245255,mp-13161,1.0794500139999998,1.070084514488908,False,False,False
mp-1245255,mp-1986,0.80109889925,0.9875,False,False,False
mp-1245255,mp-2133,0.7178529339999999,0.9875,False,False,False
mp-1245255,mp-2229,1.1010345695000001,1.099641579251383,False,False,False
mp-1245255,mp-2346983,1.050948332125,0.9873768603591659,False,False,False
mp-1245255,mp-997630,0.9879623205447603,0.9262629363857116,False,False,False
mp-1245255,cod-1011258,0.72884353825,0.9875,False,False,False
mp-1245255,cod-1011259,0.639991874625,0.9875,False,False,False
mp-1245255,cod-1534836,1.1718593395,1.171759457675548,False,False,False
mp-1245255,cod-1536063,0.7430386934175446,0.42563498414313194,False,False,False
mp-1245255,cod-1537875,0.7545358511250001,0.9875,False,False,False
mp-1245255,cod-2107059,0.718610605375,0.9875,False,False,False
mp-1245255,cod-2300112,0.70905936475,0.9875,False,False,False
mp-1245255,cod-2300113,0.72507124725,0.9875,False,False,False
mp-1245255,cod-2300114,0.7417261640000001,0.9875,False,False,False
mp-1245255,cod-2300115,0.753848489125,0.9875,False,False,False
mp-1245255,cod-2300116,0.768385438125,0.9875,False,False,False
mp-1245255,cod-2300450,0.71328443675,0.9875,False,False,False
mp-1245255,cod-4517837,0.5622273656535743,0.36829951171765085,False,False,False
mp-1245255,cod-9004178,0.709857580375,0.9875,False,False,False
mp-1245255,cod-9004179,0.7070152356250001,0.9875,False,False,False
mp-1245255,cod-9004180,0.70808574575,0.9875,False,False,False
mp-1245255,cod-9004181,0.7091723142499999,0.9875,False,False,False
mp-1245255,cod-9008877,0.679982951625,0.9875,False,False,False
mp-1245255,cod-9011662,0.680364766875,0.9875,False,False,False
mp-13161,mp-1986,1.11907277,1.119072776060971,False,False,False
mp-13161,mp-2133,1.12818267,1.12818267353102,False,False,False
mp-13161,mp-2229,0.73880496,0.7388049631553901,False,False,False
mp-13161,mp-2346983,1.5976648450000002,1.5788371684411038,False,False,False
mp-13161,mp-997630,0.7391733029330667,0.8571428571428572,False,False,False
mp-13161,cod-1011258,1.09934939,1.0993493972248345,False,False,False
mp-13161,cod-1011259,1.28290824,1.2829082422980624,False,False,False
mp-13161,cod-1534836,0.78044223,0.7804422396769666,False,False,False
mp-13161,cod-1536063,1.2775177880185242,1.2115045280549088,False,False,False
mp-13161,cod-1537875,1.20540583,1.2054058388382023,False,False,False
mp-13161,cod-2107059,1.1258881,1.1258881039160835,False,False,False
mp-13161,cod-2300112,1.14034286,1.1403428693493014,False,False,False
mp-13161,cod-2300113,1.11323344,1.113233446234637,False,False,False
mp-13161,cod-2300114,1.08610135,1.0861013561482578,False,False,False
mp-13161,cod-2300115,1.06069036,1.060690362490365,False,False,False
mp-13161,cod-2300116,1.04291118,1.042911184161369,False,False,False
