,MP/mp-1017539,MP/mp-1093993,MP/mp-1245015,MP/mp-1245109,MP/mp-1245209,MP/mp-1245255,MP/mp-13161,MP/mp-1986,MP/mp-2133,MP/mp-2229,MP/mp-2346983,MP/mp-997630,COD/cod-1011258,COD/cod-1011259,COD/cod-1534836,COD/cod-1536063,COD/cod-1537875,COD/cod-2107059,COD/cod-2300112,COD/cod-2300113,COD/cod-2300114,COD/cod-2300115,COD/cod-2300116,COD/cod-2300450,COD/cod-3000626,COD/cod-4517837,COD/cod-9004178,COD/cod-9004179,COD/cod-9004180,COD/cod-9004181,COD/cod-9008877,COD/cod-9011662,OQMD/oqmd-1106917,OQMD/oqmd-116025,OQMD/oqmd-117131,OQMD/oqmd-1223683,OQMD/oqmd-1230655,OQMD/oqmd-1343236,OQMD/oqmd-1343668,OQMD/oqmd-1343724,OQMD/oqmd-1343728,OQMD/oqmd-1439997,OQMD/oqmd-1442030,OQMD/oqmd-1442249,OQMD/oqmd-1443821,OQMD/oqmd-1443987,OQMD/oqmd-1444341,OQMD/oqmd-1472687,OQMD/oqmd-1472817,OQMD/oqmd-1473257,OQMD/oqmd-1474198,OQMD/oqmd-1479504,OQMD/oqmd-1479511,OQMD/oqmd-2029561,OQMD/oqmd-2029562,OQMD/oqmd-2029563,OQMD/oqmd-2029564,OQMD/oqmd-2029839,OQMD/oqmd-2029840,OQMD/oqmd-2029841,OQMD/oqmd-2029842,OQMD/oqmd-2029843,OQMD/oqmd-2029844,OQMD/oqmd-20684,OQMD/oqmd-20685,OQMD/oqmd-2170474,OQMD/oqmd-307732,OQMD/oqmd-328816,OQMD/oqmd-339274,OQMD/oqmd-4908,OQMD/oqmd-6958
MP/mp-1017539,0.0,1.01700904867326,0.8859473171465846,0.7904839917341496,0.9227438165287699,0.8577137529921234,2.0068565087859875,1.2092401952220135,1.188421773344645,1.395950650880882,1.6721320787141896,1.338913799875295,1.185089670118622,1.1910900327143994,1.4665121231539668,0.9304011494875944,1.2413689623265687,1.1730987825526669,1.1751952008675977,1.1704610659038248,1.1695130169913466,1.1633662363817519,1.1718831590686867,1.1834505341107222,,0.8064713161745957,1.1757664247561375,1.1773072248921168,1.1724946473717057,1.1819978765688748,1.159084309474262,1.1591722011509642,1.4401953248709807,1.3098618656221626,2.0647956880681155,1.2200110964877084,1.5165546906103653,1.442760332968037,0.9751063096071086,1.3715051835626155,1.4952349916641827,1.4462766057959018,1.4402882452532173,1.026698867295773,1.156229399603845,1.3063171265227498,1.45443435081259,1.4418222064700092,1.0947227626295213,1.443813793258646,0.5948605685405124,0.8600136391280706,0.8600147253201947,1.2140834205659772,1.057109162305481,1.310541285862663,1.0244138487454082,1.132584300542505,1.1722826740104435,1.157116194929568,1.1677819262698443,1.139009115680622,1.165078543453413,2.0754840984558736,1.2154456105617806,1.1755843883082882,2.062409455066354,1.4533275195890774,2.0693377089419873,1.1813152302348469,1.4514787275878558
MP/mp-1093993,1.01700904867326,0.0,0.8579251385417338,0.8240348235756672,0.8889126696246209,0.8641957135443232,2.4646494399525483,0.6598116763845546,0.651784710287485,1.5739960680381002,1.9354205018828134,1.5422285467428265,0.6599831469440539,0.6681661528707263,1.6494004457377458,1.0310148061566586,0.6657490960276489,0.653493350777004,0.6498576030903737,0.6575670475848168,0.6698851375017886,0.686571067056724,0.6991324863984216,0.6486938885050173,,1.0446468911449487,0.6500212587318253,0.6489680703965095,0.6503641086554033,0.6468009056801737,0.6689348998198346,0.6690129730210178,1.6215541866652752,1.6567357209032139,2.5150281959324303,0.6565977938505841,1.900540792189311,1.6242807654397073,0.7842837309887043,1.597153844512295,1.4485178293643142,1.6280138898485899,1.6216530108412455,0.051618813557150166,1.2033365486840908,1.0464875786620398,1.6366548873289573,1.6232838814756276,1.2786488436780596,1.625399750590413,0.9037260388138133,0.7958130543092345,0.79581128959194,1.2263237059238117,1.102655123064611,1.6577268865606964,0.073418698680764,0.48727930377708684,0.5785152684480741,0.5372088291353099,0.5639609347443836,0.5296726017937202,0.5622889162377861,2.5243401480679752,0.6567840790021123,0.5887229655491054,2.5129500812949406,1.6354840672920696,2.5189845572870553,0.6474397225858501,1.6335273028194186
MP/mp-1245015,0.8859473171465846,0.8579251385417338,0.0,0.1589128265390909,0.08382766146846116,0.06230985353289348,2.5103999872187313,1.3342679730083382,1.3113427758235134,1.7990577970874893,1.5754075435870807,1.5052113265468874,1.3234846510165283,1.2356285236360283,1.8804693024033239,0.6073504060834336,1.316368771976912,1.3038725541187326,1.2989403392475614,1.3091283719035705,1.3218162550541865,1.3345515204851337,1.346401548605936,1.2996010061694532,,0.5100301369717094,1.2990572582368916,1.2966390184415006,1.2985664033600197,1.2951108850601125,1.29074773698934,1.2911967685170758,1.850679993888457,1.6214134303838683,2.5689561489793964,1.3237508219976613,1.9703582708408183,1.853609426700524,0.6480945713025896,1.8241743744464927,1.0591032245667071,1.857615642137358,1.8507862212479598,0.8600883061767638,1.3536426129750239,1.2282595493460244,1.866868832127113,1.8525387118038161,1.2602300415039411,1.854810828494766,0.7769416718132289,0.8136006670705399,0.8136400630484781,1.4811169108819395,1.2854875547237463,1.6227409283756344,0.8348100365559985,0.8968651424730433,0.8695641938719052,0.8866326860562738,0.8831264724832197,0.8631644041696511,0.8748219653579203,2.579686201543677,1.3271893831255503,0.8598341672969563,2.5665578434361356,1.8656166522137156,2.573518319863201,1.293378055212325,1.8635228140378013
MP/mp-1245109,0.7904839917341496,0.8240348235756672,0.1589128265390909,0.0,0.20928725844153157,0.1259391917111997,2.4255330383253306,1.2880600935404318,1.2659613896819086,1.723093633804967,1.6340098769851936,1.411481511387171,1.2736063017129755,1.213308916485691,1.7991363987200855,0.6357733222211509,1.2845449291087536,1.2566188229543125,1.2539685233261588,1.2597987379180293,1.2684008116862509,1.2766055841676225,1.2866223826264103,1.2557201410540455,,0.5041564567610971,1.2540788142883967,1.2526736616530785,1.2532122271810695,1.2521689188247196,1.2454693440047753,1.2458161096330145,1.771159765061389,1.5405202418220072,2.481725691039887,1.2835944308908376,1.9007908950251209,1.7739038426426559,0.6677961699516892,1.7391759559074658,1.1663616493276163,1.777659166729956,1.7712592427368716,0.8296399784628626,1.320741079677263,1.28448124072647,1.7863440488129851,1.7729006881506302,1.1949254604286232,1.7750296932637286,0.6936320623540737,0.7107738870120935,0.7107994251758957,1.426592298922481,1.2504546848270817,1.5416225566883166,0.8106794787783272,0.8385997000175455,0.8085449868978599,0.826383425588913,0.8208766388388913,0.8013800964894643,0.8138818345933048,2.4920542982776936,1.2847458635431541,0.799635652390254,2.4794183729659958,1.7851678786210121,2.486116059570976,1.251522838205881,1.78320176139042
MP/mp-1245209,0.9227438165287699,0.8889126696246209,0.08382766146846116,0.20928725844153157,0.0,0.09670893395116421,2.5073771579298536,1.3635549827810087,1.3395624901793797,1.7863408951936057,1.6040078330277512,1.4896486716806048,1.3514445233429366,1.263137545924182,1.8683449223160076,0.6570047385282932,1.3467003375614244,1.3315649046743172,1.3271112338779367,1.3367173972602453,1.3487064101087278,1.3612434139774956,1.372197957449723,1.327192623517061,,0.5280833710680483,1.3271295692481886,1.3246953014671754,1.326873247174574,1.3227800049649514,1.321253664496993,1.3217102133920116,1.838345333602523,1.601495449749365,2.565963880741777,1.3535449850452244,1.9552552224953184,1.841295767233397,0.618086541631369,1.81635709463459,1.0099215244153286,1.845330587387824,1.8384523237472667,0.8936201386513686,1.343595814143337,1.2204540539149178,1.8546493414363447,1.8402173847822123,1.246449116400505,1.842505761102097,0.8484787200034851,0.8258058392065226,0.8258678667946684,1.4713254716740989,1.2814254102532767,1.6030268440182565,0.8652111046750981,0.9391734078136665,0.9132800135187967,0.9299504148656638,0.9265567542670905,0.9056498097401385,0.9184682944859912,2.5766995574789844,1.3568038188596465,0.903539324689567,2.5635643186608204,1.8533883300034837,2.570528442461582,1.321688447748192,1.8512796956841195
MP/mp-1245255,0.8577137529921234,0.8641957135443232,0.06230985353289348,0.1259391917111997,0.09670893395116421,0.0,2.4649885770769155,1.33907053208045,1.315673599503384,1.7606757135948337,1.6057165659369248,1.4579495202250112,1.3257436557653828,1.2471834759204876,1.8403436536532842,0.6276802189997787,1.327559238611303,1.3067945196830417,1.3030563402108706,1.3111381712544379,1.3217719494868094,1.332390656797911,1.3430895851196998,1.3039869392943515,,0.4972030109632001,1.303123741177471,1.301101600380018,1.3025505098895254,1.2998525218230033,1.294341475934625,1.294758834039757,1.8111366684999688,1.5725097187866666,2.5229394019314038,1.3312920530054237,1.9272515573102087,1.814006245730651,0.6449973360212838,1.7832272721574896,1.0788377457621738,1.8179315531723643,1.8112407150131191,0.8680742695064118,1.321210311133182,1.2490662050391839,1.8270019504185988,1.8129573396601948,1.211572090905566,1.8151832701729895,0.7752660385967869,0.7770149459504262,0.7770718868526594,1.4438951940652862,1.2556150798151848,1.5737780071602412,0.8450437410594994,0.907972098348692,0.8808009741868237,0.8977844549613276,0.8936629120028594,0.8732530069321306,0.8859960435738029,2.5335690919462204,1.3337046945785276,0.8714037951818706,2.5205639463449137,1.825774179944875,2.527458530770199,1.2988582238260602,1.8237213844996563
MP/mp-13161,2.0068565087859875,2.4646494399525483,2.5103999872187313,2.4255330383253306,2.5073771579298536,2.4649885770769155,0.0,2.3936934724883328,2.37890853962966,1.6241522046172951,3.4602000136589477,1.7919789391391778,2.3452017399982705,2.498345345774188,1.5705626361273026,2.7457513775851066,2.5077981073904776,2.351395773435827,2.3724159505309763,2.33613159755156,2.300933317297328,2.2657001686419376,2.245369730209888,2.3766084005733834,,2.4041543949975455,2.3713689689269866,2.3778338217760933,2.370324103517502,2.382951609378995,2.389110564994673,2.388603009920856,1.5883020985743885,1.2886920854979247,0.0998872855973171,2.441730358883874,0.9003703798457605,1.5864672273950173,2.3430358617710687,1.4881388931137887,2.7776290015800584,1.5839905196819146,1.5882352079397337,2.4823036239805005,1.9238718482058104,2.586452501091152,1.5784118437500536,1.5871355297680043,1.5391620875535643,1.5857205618347554,2.5083271827138116,1.9046453093789266,1.904732558153981,1.720110812699055,1.9668596748431955,1.2855032511106195,2.504065175230297,2.552195339250151,2.5978686003961053,2.57805099399881,2.58423792761323,2.559157891261009,2.5897240232828276,0.11773499133222948,2.4236060207485095,2.605109923472972,0.09587997053608341,1.5791553248683226,0.10749179265362259,2.3956667979845707,1.580406501834819
MP/mp-1986,1.2092401952220135,0.6598116763845546,1.3342679730083382,1.2880600935404318,1.3635549827810087,1.33907053208045,2.3936934724883328,0.0,0.043861678601230504,1.6098054500512058,2.0936651353277864,1.8258378493198337,0.07133463478088248,0.2929414068471606,1.6753291487319926,1.4470797477931276,0.17622525406156314,0.07376136171864137,0.06623219026416154,0.0855824512684822,0.12881099156483827,0.181268848356743,0.21286593517548222,0.06472421150536303,,1.4322985135511996,0.06673753835555435,0.06974444775756364,0.06866297122372404,0.07185651608392458,0.2240869821380542,0.22358275784589088,1.6509143534597277,1.8206500778908612,2.4423082864052077,0.07558525407188485,1.9036890440798873,1.653294668939555,1.0440638264372455,1.6148410017457446,1.6767246389259525,1.6565574472093305,1.6510005866551531,0.6604282097673982,1.3282837757975219,1.120818441864131,1.664125931621949,1.6524241149269512,1.5343347581228601,1.6542722190071717,1.2087646750284167,1.0706219891381221,1.0704793987222923,1.3333679708942818,1.2277868987403375,1.8210169435345396,0.6744177011166534,0.7546824829934755,0.903529368490008,0.8369631045827085,0.8774133106744484,0.8367668865439638,0.878510316774714,2.451321808055121,0.047325254082674885,0.9209666409879335,2.440297863514582,1.663099132757331,2.446136884761257,0.07785635634070695,1.6613839689988343
MP/mp-2133,1.188421773344645,0.651784710287485,1.3113427758235134,1.2659613896819086,1.3395624901793797,1.315673599503384,2.37890853962966,0.043861678601230504,0.0,1.5959504881746955,2.0731709568352876,1.8130479058686915,0.058864825640696276,0.27534846357280257,1.662154118947157,1.4301553402889238,0.18218057278708377,0.044829036825931326,0.03483881310596109,0.06284832936108148,0.11397806393662885,0.1706069590646269,0.20329977532645999,0.02664518798661564,,1.4102400811927331,0.034715371455442484,0.038903362327400416,0.039138835449098366,0.03581082910716293,0.21321758760416298,0.21281238456113583,1.6374947369922166,1.8022469523998366,2.4279396751640507,0.08790543107348753,1.8849856270207381,1.6398993288972747,1.009953191687109,1.6011320609975221,1.6438831331964894,1.6431952288705434,1.6375818513407419,0.6529372430138096,1.2987075302265956,1.1017460633479208,1.6508398664329411,1.63901990736679,1.509249000086517,1.6408868211462007,1.1957340513241346,1.051268414737915,1.0511293043775503,1.3078535369507964,1.1985467203753921,1.8026424822025964,0.6657551953543219,0.7549851668618721,0.9037975716184756,0.8377139754041999,0.8781643213281182,0.8357759805805555,0.8789180723446264,2.4370277465620784,0.06496279757640776,0.9207853605502643,2.4259125165433533,1.6498027908527824,2.431800035417509,0.05343480546586259,1.648070422742582
MP/mp-2229,1.395950650880882,1.5739960680381002,1.7990577970874893,1.723093633804967,1.7863408951936057,1.7606757135948337,1.6241522046172951,1.6098054500512058,1.5959504881746955,0.0,2.833287710489865,0.8605262734522443,1.5677137858956722,1.7107996678376771,0.14423575684832876,1.9984601338271921,1.7100406098310819,1.5751754515561793,1.5929891638658036,1.5624930070020147,1.5335518281925749,1.5062899919427295,1.490027054641364,1.5949829506716284,,1.706285919023046,1.5921200822071557,1.597717285527055,1.5917043924710736,1.6000749409781265,1.610298845178819,1.6098605276878428,0.09301202734724663,0.7316227218559898,1.6540368894631157,1.6512405331277822,0.849040738595296,0.09812161396089791,1.5382181695831003,0.25614793286026777,2.141051301300901,0.10508286785070803,0.09319760069016061,1.6030853026899294,1.1844117115675314,1.6785095283390312,0.12104741724929786,0.09625596009830671,1.0650046346582556,0.10021237593085008,1.8209166046950334,1.3226947497099593,1.3228750594787142,0.9062346305287838,1.1863897508575676,0.7319601634946189,1.6065980125034907,1.8103257180461871,1.875347354752127,1.8469247821341581,1.859725272704074,1.8305522332558006,1.8640306766040917,1.659953023140035,1.6354629701865784,1.884653250163904,1.652732134414687,0.11889615288269823,1.656536693572124,1.6128901121079178,0.11529258604760313
